Ward,Name,opening_hour,Opening time,Post_code,Address,Capacity,Capacity_integer
,Wembley library,59,,HA9 0FJ,"Brent Civic Centre, Engineers Way, Wembley HA9 0FJ",78.56153519,79
,The Library at Willesden Green,59,,NW10 2SF,"95 High Road, Willesden, NW10 2SF",78.56153519,79
,Brent Hubs,14,,NW6 5GG,"Hornbill House, 2 Rudolph Rd, North Maida Vale, London NW6 5GG",18.64172022,19
,Brent Hubs,14,,NW10 0TY,"65, The living room Next, 80 Besant Way, London NW10 0TY",18.64172022,19
,Brent Hub Community Enterprise Centre,56,,NW10 8BN,"6 Hillside, London NW10 8BN",74.56688086,75
Bromley,"Anerley Town Hall, Crystal Palace Community Trust (over 55s)",37.5,,SE20 8BD,Anerley Town Hall,49.93317915,50
,Beckenham Library,41.5,,BR3 4PE,Beckenham Road,55.25938492,55
,Biggin Hill Library,67,,TN16 3LB,"Church Road, Biggin Hill",89.21394674,89
,Bromley Central Library,55,,BR1 1EX,Bromley High Street,73.23532942,73
,Bromley Common Baptist Church,1.5,,BR2 8PE,Gravel Road,1.997327166,2
,Bromley Salvation Army,16,,BR1 1HU,Ethelbert Road,21.3048231,21
,Bromley United Reformed Church,4,,BR1 1RY,20 Widmore Rd,5.326205776,5
,Brook Lane Community Church (BLCChurch),36.5,,BR1 4PX,27-29 Brook Lane Bromley,48.6016277,49
,Burnt Ash Library,19.5,,BR1 5AF,Burnt Ash Lane,25.96525316,26
,Chelsfield Community Cafe at Chelsfield Village Hall,1,,BR6 7RL,Bucks Cross Road,1.331551444,1
,Chislehurst Library,39.5,,BR7 6DA,Red Hill,52.59628204,53
,Christ Central Church,34,,SE20 7JA,Green Lane,45.27274909,45
,"Christ Church, Orpington",25.5,,BR6 9EP,Charterhouse Road,33.95456182,34
,Coney Hall Baptist Church,3,,BR4 9BU,"Coney Hill Road,",3.994654332,4
,Crofton Baptist Church,35,,BR51HD,100 Crofton Lane,46.60430054,47
,Emmanuel United Reformed Church,8,,BR4 9JS,"The Grove,",10.65241155,11
,Geffery's Hall (CEYP),6,,SE9 4TA,27 Nunnington Close,7.989308664,8
,"Green Bird Cafe, St John's Church",7,,BR3 3JN,251 Eden Park,9.320860108,9
,Green Street Green Baptist Church 'Warm Welcome Space',4,,BR6 6AA,1 Worlds End lane,5.326205776,5
,Hayes Library,23.5,,BR2 7LH,Hayes Street,31.29145893,31
,Holy Innocents (Cafe Joseph),11,,BR6 9UE,"Strickland Way,",14.64706588,15
,Hope Church Orpington,3,,BR6 0TW,Units 7 to 9 The Walnuts,3.994654332,4
,Melvin Hall,64,,SE20 8EU,"Melvin Road,",85.21929241,85
,Mottingham Library,39.5,,SE9 4QZ,31 Mottingham Road,52.59628204,53
,Oak Community Church,8,,BR5 2LJ,345 Chipperfield Road,10.65241155,11
,"Orpington Baptist Church and ""The Lounge """,12,,BR6 0RZ,"Station Road,",15.97861733,16
,Orpington Library,51,,BR6 0TW,The Walnuts,67.90912364,68
,"Parish Church of St Mary, Shortlands",2,,BR2 0HG,"Church House, 39 Kingswood Road",2.663102888,3
,Penge East Community Centre,24,,SE20 7BE,"Penge East Railway Station Carpark, Station Road",31.95723465,32
,Penge Library,49,,SE20 7JX,46 Green Lane,65.24602075,65
,Petts Wood Library,39.5,,BR5 1BP,Frankswood Avenue,52.59628204,53
,Queen Adelaide Community Centre,84,,SE20 7EA,"Queen Adelaide Court, Queen Adelaide Road,",111.8503213,112
,Shortlands Library,39.5,,BR2 0JP,110 Shortlands Road,52.59628204,53
,Southborough Library,36,,BR2 8AP,"Southborough Lane, Bromley",47.93585198,48
,"St Augustine's Church, BR2",1.5,,BR2 8AT,Southborough Lane,1.997327166,2
,St Edwards Mottingham,61,,SE9 4AQ,St Keverne Road,81.22463808,81
,St Francis of Assisi Church,15.5,,BR4 0PW,Ravenswood Avenue,20.63904738,21
,St Hugh's Community Centre,81,,SE20 8PL,"42 Castledine Road,",107.855667,108
,St Johns Church Penge Lunchtime Club,2.5,,SE20 7EQ,2 St Johns Road,3.32887861,3
,"St Nicholas Church, Orpington",1,,BR6 9QB,"Leamington Avenue,",1.331551444,1
,St Paul's Cray Library,39.5,,BR5 2RW,"Mickleham Road, St Paul's Cray",52.59628204,53
,"St Paul's Crofton, Elderberry Café",2.5,,BR6 8JE,"Parish Church of St Paul's, Crofton Road,",3.32887861,3
,"St. George's Church, Beckenham",25.5,,BR3 1HX,"High Street,",33.95456182,34
,Turpington Lane Community Centre,4,,BR2 8JX,"Turpington Lane,",5.326205776,5
,"Unity Church, Orpington",7,,BR5 4NH,"Rye Crescent,",9.320860108,9
,"Well Community Cafe, Living Well, Holy Trinity Church",9,,SE20 7LX,66 Lennard Road,11.983963,12
,West Wickham & Shirley Baptist Church,21,,CR0 8EH,Wickham Road,27.96258032,28
,West Wickham Library,23.5,,BR4 0SH,"Glebe Way, West Wickham",31.29145893,31
,West Wickham Methodist Church,3.5,,BR4 9AA,Hawes Lane (corner of Linden Leas),4.660430054,5
Camden,Belsize Community Library,24,,NW3 4XN,"Belsize Community Library, Antrim Road, London",31.95723465,32
,Camden Town library,44,,NW1 1BD,"Camden Town Library, 218 Eversholt Street",58.58826353,59
,Highgate library,29,,N19 5DH,"Highgate Library, Chester Road",38.61499187,39
,Holborn library,49,,WC1X 8PA,"Holborn Library, 32-38 Theobalds Road",65.24602075,65
,Kentish Town Library,49,,NW5 2AA,"Kentish Town Library, 262- 266 Kentish Town Road",65.24602075,65
,Kilburn library,49,,NW6 5UH,"Kilburn Library,12-22 Kilburn High Road",65.24602075,65
,Pancras Square library,78,,N1C 4AG,"Pancras Square Library, 5 Pancras Square",103.8610126,104
,Queens Crescent library,41,,NW5 4HH,"Queens Crescent Library, 165 Queen's Crescent",54.5936092,55
,Swiss Cottage library,54,,NW3 3HA,"Swiss Cottage Library, 88 Avenue Road",71.90377797,72
,The British Library,61,,NW1 2DB,"The British Library, 96 Euston Road, London",81.22463808,81
,West Hampstead library,41,,NW6 1AU,"West Hampstead Library, Dennington Park Road",54.5936092,55
,Agar Childrens Centre,50,,NW1 9SU,"Lulworth, Wrotham Road, London",66.5775722,67
,Harmood Childrens Centre,50,,NW1 8DQ,"1, Forge Place, London",66.5775722,67
,Kilburn Grange Childrens Centre,50,,NW6 2JL,"1, Palmerston Road, London",66.5775722,67
,Regent's Park Children's Centre,50,,NW1 3TJ,"Augustus Street, London",66.5775722,67
,Kentish Town Sports Centre,94,,NW5 3DU,"Grafton Rd, London",125.1658357,125
,Oasis Sports Centre,94.5,,WC2H 9AG,"32 Endell St, London",125.8316115,126
,Pancras Square Leisure,97.5,,N1C 4AG,"5 Pancras Sq, London",129.8262658,130
,Swiss Cottage Leisure Centre,97.5,,NW3 3NF,"4a Adelaide Rd, London",129.8262658,130
,Talacre Community Sports Centre,85,,NW5 3LN,"Dalby St, London",113.1818727,113
,Bengali Workers Association,37.5,,NW1 3JU ,"The Surma Community Centre, 1 Robert Street, NW1 3JU",49.93317915,50
,Bourne Estate Tenant Residents Association,22.5,,EC1N 7AA,"Allen Hall, Unit 1 Dobson Court, Bourne Estate, EC1N 7AA",29.95990749,30
,British Somali Community Centre,5.5,,NW1 1TU,"7-9 Crowndale Road, NW1 1TU",7.323532942,7
,Castlehaven Community Association,40,,NW1 8RU,"23 Castlehaven Road, NW1 8RU",53.26205776,53
,Community Association for West Hampstead,8,,NW6 1QN,"17 Dornfell Street, NW6 1QN",10.65241155,11
,Fitzrovia Community Centre,2,,W1W 6DL,2 Foley Street W1W 6DL,2.663102888,3
,Holborn Community Association - Holborn House Community Centre,81,,WC1N 3QW,"35 Emerald Street, WC1N 3QW",107.855667,108
,Holborn Community Association - Millman Street Community Centre,35,,WC1N 3EW,"50 Millman Street, WC1N 3EW",46.60430054,47
,JW3,33,,NW3 6ET,"341-351 Finchley Road, NW3 6ET",43.94119765,44
